Incident_ID,Timestamp,State,City,Industry,Organization,Attack_Type,Attack_Severity,Threat_Severity,Target_System,Security_Tools_Used,User_Role,Data_Compromised_GB,Attack_Duration_Min,Response_Time_Min,Financial_Loss_INR,Affected_Users,Mitigation_Method,Outcome,Reporting_Agency
42,2025-08-22 03:46:45,Karnataka,Mysuru,Insurance,LIC,Ransomware,3,High,HRMS,Cisco Secure Endpoint,Finance Manager,51.47,193,209,137928,7715,Patch Applied,Mitigated,State Cyber Crime Cell
43,2024-11-03 19:44:24,Kerala,Thiruvananthapuram,Banking,LIC,Credential Theft,8,High,VPN Gateway,CrowdStrike Falcon,Security Analyst,17.02,493,223,7489197,7604,Firewall Rules Updated,Contained,CERT-In
44,2025-06-23 18:42:33,Delhi,New Delhi,Energy,NPCI,Insider Threat,6,High,Cloud Infrastructure,Microsoft Defender XDR,System Administrator,24.16,571,127,2175181,7357,Network Isolation,Ongoing Investigation,NCIIPC
45,2025-12-27 08:47:13,Andhra Pradesh,Tirupati,Insurance,TCS,Zero-Day Exploit,6,High,Database Server,Fortinet FortiGate,System Administrator,70.97,285,69,836987,1939,Patch Applied,Recovered,CERT-In
46,2024-02-19 19:10:54,Odisha,Bhubaneswar,Education,Wipro,SQL Injection,8,High,Payment Gateway,Sophos Intercept X,Finance Manager,38.75,521,209,8242355,1921,Endpoint Isolation,Contained,State Cyber Crime Cell
47,2025-06-21 19:34:17,Kerala,Kochi,Telecommunications,ICICI Bank,SQL Injection,7,High,Database Server,CrowdStrike Falcon,Database Administrator,7.87,101,136,7574534,7161,Threat Hunting,Contained,NCIIPC
48,2024-10-19 09:02:52,Andhra Pradesh,Tirupati,Telecommunications,Wipro,Malware,2,High,Payment Gateway,SentinelOne,System Administrator,70.23,412,264,2081604,446,Threat Hunting,Ongoing Investigation,State Cyber Crime Cell
49,2024-04-27 20:01:10,Andhra Pradesh,Tirupati,Energy,Apollo Hospitals,Insider Threat,4,High,Cloud Infrastructure,Cisco Secure Endpoint,HR Executive,60.33,303,166,628136,7720,Patch Applied,Resolved,State Cyber Crime Cell
50,2024-06-01 22:12:56,Tamil Nadu,Salem,Manufacturing,NIC,Insider Threat,8,High,HRMS,Palo Alto Cortex XDR,Database Administrator,41.95,176,164,4574377,7154,MFA Enabled,Contained,NCIIPC
51,2025-03-15 19:16:57,West Bengal,Kolkata,Government,NIC,Phishing,2,High,Web Application,Sophos Intercept X,HR Executive,68.0,401,169,8593518,7281,MFA Enabled,Recovered,Internal SOC
52,2025-09-19 14:14:30,Maharashtra,Mumbai,Energy,Tech Mahindra,XSS,3,High,Database Server,Fortinet FortiGate,Database Administrator,68.15,437,126,2312777,2761,Backup Restored,Recovered,Internal SOC
53,2024-07-27 08:06:32,Karnataka,Mysuru,Energy,Reliance Retail,SQL Injection,5,High,ERP System,IBM QRadar,Network Engineer,31.31,475,87,875202,5069,Network Isolation,Recovered,NCIIPC
54,2025-06-01 03:35:51,Andhra Pradesh,Vijayawada,Telecommunications,SBI,Malware,3,High,Cloud Infrastructure,Microsoft Defender XDR,Security Analyst,12.05,647,175,3665917,1374,Patch Applied,Ongoing Investigation,NCIIPC
55,2025-04-15 17:34:21,Karnataka,Mysuru,Healthcare,Tech Mahindra,Ransomware,2,Medium,Cloud Infrastructure,Splunk Enterprise Security,System Administrator,73.59,61,273,7609229,2099,Backup Restored,Ongoing Investigation,CERT-In
56,2024-05-04 01:28:52,Odisha,Bhubaneswar,Government,Infosys,DDoS,8,High,HRMS,Cisco Secure Endpoint,System Administrator,23.46,625,226,9907366,3238,Patch Applied,Recovered,Internal SOC
57,2024-08-23 01:47:51,Tamil Nadu,Coimbatore,Banking,Apollo Hospitals,Business Email Compromise,8,High,VPN Gateway,IBM QRadar,Network Engineer,67.23,106,65,3937957,7079,Password Reset,Mitigated,State Cyber Crime Cell
58,2024-06-07 16:36:50,Kerala,Kochi,Banking,LIC,Business Email Compromise,5,High,Database Server,Sophos Intercept X,Network Engineer,20.1,642,82,5125002,8004,Password Reset,Resolved,NCIIPC
59,2024-03-15 10:41:36,Delhi,New Delhi,Banking,ICICI Bank,DDoS,9,High,Payment Gateway,Microsoft Sentinel,Database Administrator,5.59,327,283,7897864,4959,Password Reset,Ongoing Investigation,NCIIPC
60,2025-12-20 00:45:17,Delhi,New Delhi,IT Services,BSNL,XSS,6,High,Database Server,CrowdStrike Falcon,Employee,63.87,377,123,5867567,6135,Threat Hunting,Ongoing Investigation,NCIIPC
61,2025-07-14 02:46:42,Karnataka,Hubballi,Education,Reliance Retail,Zero-Day Exploit,3,Medium,File Server,IBM QRadar,Finance Manager,18.17,221,175,7235845,6098,Endpoint Isolation,Resolved,State Cyber Crime Cell
62,2025-06-29 14:45:13,Odisha,Cuttack,Banking,NPCI,SQL Injection,6,High,HRMS,IBM QRadar,Finance Manager,62.73,557,207,3901546,2540,Backup Restored,Ongoing Investigation,State Cyber Crime Cell
63,2024-01-18 18:00:35,Andhra Pradesh,Tirupati,Education,NIC,DDoS,8,High,Web Application,Palo Alto Cortex XDR,System Administrator,25.39,253,32,2720802,3969,Patch Applied,Resolved,State Cyber Crime Cell
64,2024-11-21 17:49:26,Gujarat,Surat,Telecommunications,NIC,Ransomware,9,High,Database Server,IBM QRadar,Finance Manager,35.69,586,200,7401095,4955,Password Reset,Mitigated,Internal SOC
65,2025-07-31 06:41:17,Gujarat,Surat,Energy,SBI,Phishing,5,High,Cloud Infrastructure,Microsoft Sentinel,Database Administrator,70.56,566,239,7231018,3758,Password Reset,Recovered,NCIIPC
66,2024-05-29 22:12:40,Andhra Pradesh,Vijayawada,Banking,NPCI,Malware,10,High,Database Server,Cisco Secure Endpoint,Network Engineer,62.9,144,196,8507963,7873,Threat Hunting,Mitigated,Internal SOC
67,2025-04-28 06:42:16,Delhi,New Delhi,Government,SBI,Zero-Day Exploit,7,High,File Server,IBM QRadar,Finance Manager,60.47,538,106,5071634,4586,Threat Hunting,Mitigated,Internal SOC
68,2024-02-29 19:12:12,Kerala,Thiruvananthapuram,Government,Wipro,Malware,7,High,ATM Network,Palo Alto Cortex XDR,HR Executive,24.19,166,131,992438,343,Backup Restored,Recovered,CERT-In
69,2024-03-23 13:24:11,Odisha,Bhubaneswar,Government,Reliance Retail,DDoS,7,High,VPN Gateway,IBM QRadar,Database Administrator,71.67,681,178,9919958,5088,Network Isolation,Recovered,State Cyber Crime Cell
70,2025-01-12 03:34:57,Maharashtra,Nagpur,Insurance,BSNL,Insider Threat,8,High,Web Application,Palo Alto Cortex XDR,Database Administrator,43.85,651,135,8845113,1068,Patch Applied,Resolved,NCIIPC
71,2024-06-12 20:22:36,Andhra Pradesh,Vijayawada,Telecommunications,SBI,SQL Injection,6,High,Cloud Infrastructure,Microsoft Sentinel,HR Executive,29.62,669,257,2180177,4299,Network Isolation,Ongoing Investigation,Internal SOC
72,2024-02-19 14:12:10,Odisha,Bhubaneswar,Education,Infosys,Phishing,9,High,HRMS,Fortinet FortiGate,Security Analyst,28.81,15,102,3468739,6421,Endpoint Isolation,Recovered,CERT-In
73,2024-05-20 16:26:34,Kerala,Thiruvananthapuram,Education,Wipro,SQL Injection,5,High,Payment Gateway,Cisco Secure Endpoint,Finance Manager,48.71,719,199,9847390,9558,Firewall Rules Updated,Resolved,NCIIPC
74,2025-01-21 13:49:14,Delhi,New Delhi,Energy,NPCI,Phishing,8,High,VPN Gateway,CrowdStrike Falcon,System Administrator,73.74,28,61,1650716,2173,Backup Restored,Resolved,State Cyber Crime Cell
75,2024-01-29 03:43:16,Tamil Nadu,Chennai,Insurance,Infosys,Data Breach,4,High,Payment Gateway,Cisco Secure Endpoint,System Administrator,56.42,33,231,2814520,8160,Threat Hunting,Recovered,Internal SOC
76,2025-07-30 16:06:53,Telangana,Nizamabad,Healthcare,ICICI Bank,Data Breach,7,High,ATM Network,Cisco Secure Endpoint,System Administrator,8.35,685,37,9374248,2297,Network Isolation,Resolved,Internal SOC
77,2024-08-26 00:16:01,Karnataka,Bengaluru,Government,Infosys,Phishing,2,High,ERP System,Fortinet FortiGate,Security Analyst,65.33,649,141,1987877,3921,MFA Enabled,Contained,CERT-In
78,2025-09-07 21:01:32,Maharashtra,Nashik,Government,Wipro,Insider Threat,2,High,HRMS,SentinelOne,System Administrator,57.95,677,271,9373192,7162,Threat Hunting,Contained,CERT-In
79,2024-06-01 23:19:07,Andhra Pradesh,Visakhapatnam,Insurance,NPCI,Zero-Day Exploit,2,Medium,Cloud Infrastructure,Fortinet FortiGate,Finance Manager,7.74,410,247,2611186,2122,Patch Applied,Recovered,State Cyber Crime Cell
80,2025-11-03 02:39:49,Maharashtra,Mumbai,IT Services,Reliance Retail,XSS,2,Medium,Database Server,Splunk Enterprise Security,Database Administrator,69.93,28,233,7820100,5552,Password Reset,Resolved,NCIIPC
81,2025-07-29 03:35:20,Karnataka,Mangaluru,Manufacturing,LIC,Zero-Day Exploit,10,High,ATM Network,Splunk Enterprise Security,System Administrator,68.51,556,163,3379439,3678,Threat Hunting,Mitigated,CERT-In
82,2024-11-02 21:38:23,Telangana,Warangal,Retail,TCS,Insider Threat,8,High,File Server,Cisco Secure Endpoint,Finance Manager,65.68,466,132,4766006,9020,Firewall Rules Updated,Recovered,CERT-In
83,2025-06-05 06:44:54,West Bengal,Siliguri,Healthcare,Reliance Retail,DDoS,3,Medium,Web Application,IBM QRadar,Employee,10.58,152,224,1713345,9574,MFA Enabled,Mitigated,Internal SOC
84,2025-08-05 08:36:01,Delhi,New Delhi,Insurance,Tech Mahindra,Insider Threat,7,High,VPN Gateway,Microsoft Defender XDR,Security Analyst,22.32,590,131,3797859,4821,Threat Hunting,Recovered,Internal SOC
85,2025-11-02 15:20:01,West Bengal,Siliguri,Education,Wipro,Ransomware,2,Medium,ERP System,CrowdStrike Falcon,Database Administrator,15.9,534,91,6030939,3861,Endpoint Isolation,Ongoing Investigation,Internal SOC
86,2024-12-06 05:59:27,Andhra Pradesh,Kakinada,Education,Reliance Retail,DDoS,5,High,ERP System,Splunk Enterprise Security,HR Executive,37.88,237,8,987721,3872,Threat Hunting,Resolved,CERT-In
87,2025-11-24 16:28:37,Andhra Pradesh,Visakhapatnam,Government,NIC,Data Breach,6,High,Web Application,Microsoft Defender XDR,HR Executive,22.13,443,77,9313023,2425,Password Reset,Resolved,Internal SOC
88,2024-02-15 23:45:42,Kerala,Kochi,Government,Apollo Hospitals,Data Breach,9,High,File Server,Cisco Secure Endpoint,Security Analyst,68.8,16,270,3101154,6913,Threat Hunting,Contained,CERT-In
89,2025-05-05 10:03:18,Odisha,Cuttack,Insurance,BSNL,Phishing,5,High,File Server,Microsoft Sentinel,System Administrator,16.1,624,201,3406417,4793,Patch Applied,Ongoing Investigation,CERT-In
90,2024-12-23 05:11:28,Gujarat,Vadodara,IT Services,Reliance Retail,Ransomware,3,High,Database Server,IBM QRadar,HR Executive,23.66,560,259,9860667,7734,Backup Restored,Contained,Internal SOC
91,2024-11-13 09:16:28,Delhi,New Delhi,Energy,Reliance Retail,Data Breach,1,Medium,HRMS,IBM QRadar,System Administrator,15.4,686,260,6450787,1978,Endpoint Isolation,Mitigated,CERT-In
92,2025-10-25 18:20:31,Tamil Nadu,Coimbatore,Education,TCS,Credential Theft,4,High,ERP System,Microsoft Sentinel,Network Engineer,3.5,666,273,1778880,88,MFA Enabled,Recovered,State Cyber Crime Cell
93,2025-09-28 17:57:16,Gujarat,Vadodara,Energy,Reliance Retail,Insider Threat,2,Medium,ATM Network,Splunk Enterprise Security,Database Administrator,1.26,426,205,8345012,6360,Patch Applied,Resolved,CERT-In
94,2025-12-05 11:38:12,Gujarat,Surat,Education,BSNL,Zero-Day Exploit,2,Medium,Database Server,IBM QRadar,Security Analyst,27.35,15,32,6191252,9657,MFA Enabled,Recovered,Internal SOC
95,2024-01-31 15:14:00,Maharashtra,Nagpur,IT Services,TCS,Credential Theft,9,High,Email Server,CrowdStrike Falcon,Network Engineer,12.82,572,249,1054430,5861,Password Reset,Mitigated,CERT-In
96,2025-04-19 18:31:48,Kerala,Thiruvananthapuram,Insurance,SBI,Ransomware,4,High,ERP System,Splunk Enterprise Security,Security Analyst,3.45,714,265,9219538,6811,MFA Enabled,Recovered,Internal SOC
97,2024-12-22 05:12:07,Kerala,Thiruvananthapuram,Government,SBI,Ransomware,4,High,ERP System,Sophos Intercept X,Network Engineer,67.1,601,115,8428778,862,Backup Restored,Mitigated,CERT-In
98,2024-10-03 11:12:59,Tamil Nadu,Madurai,Telecommunications,Reliance Retail,XSS,8,High,Payment Gateway,SentinelOne,Finance Manager,10.25,720,192,835848,1903,Patch Applied,Mitigated,State Cyber Crime Cell
99,2024-08-09 19:44:27,Tamil Nadu,Coimbatore,Telecommunications,LIC,Data Breach,9,High,ATM Network,Fortinet FortiGate,HR Executive,52.71,493,132,7170035,5831,Threat Hunting,Ongoing Investigation,CERT-In
100,2024-04-18 20:26:16,Odisha,Cuttack,Manufacturing,HDFC Bank,DDoS,10,High,ERP System,CrowdStrike Falcon,Employee,48.42,577,199,3027984,8095,Backup Restored,Resolved,State Cyber Crime Cell
101,2025-12-19 20:55:57,Telangana,Karimnagar,Banking,NPCI,Data Breach,4,High,Web Application,Cisco Secure Endpoint,System Administrator,26.85,123,228,1056793,3507,Patch Applied,Resolved,CERT-In
102,2024-09-19 16:59:39,Andhra Pradesh,Visakhapatnam,Insurance,NPCI,SQL Injection,9,High,HRMS,Sophos Intercept X,Security Analyst,74.16,261,65,3138869,5277,Firewall Rules Updated,Resolved,NCIIPC
103,2025-11-04 21:47:09,Tamil Nadu,Chennai,Insurance,HDFC Bank,Phishing,9,High,File Server,SentinelOne,Employee,9.45,635,144,5933460,2533,Threat Hunting,Recovered,NCIIPC
104,2024-05-09 02:09:50,West Bengal,Kolkata,Retail,NIC,SQL Injection,1,Low,Cloud Infrastructure,Cisco Secure Endpoint,HR Executive,4.11,654,38,1427993,4854,Firewall Rules Updated,Ongoing Investigation,NCIIPC
105,2024-11-22 20:39:48,Kerala,Thiruvananthapuram,Government,HDFC Bank,Brute Force,8,High,VPN Gateway,Fortinet FortiGate,Network Engineer,36.41,145,52,3452792,6238,Backup Restored,Mitigated,Internal SOC
106,2024-12-28 06:50:22,Delhi,New Delhi,Insurance,Wipro,Insider Threat,2,Medium,HRMS,SentinelOne,Employee,48.11,94,200,9351564,5636,Firewall Rules Updated,Resolved,NCIIPC
107,2024-08-27 14:53:22,Gujarat,Surat,Insurance,Apollo Hospitals,SQL Injection,7,High,ATM Network,Palo Alto Cortex XDR,Security Analyst,54.95,299,272,6378609,1326,MFA Enabled,Mitigated,Internal SOC
108,2025-03-22 13:34:28,Tamil Nadu,Salem,Banking,Apollo Hospitals,Ransomware,2,High,HRMS,Fortinet FortiGate,Employee,69.48,359,287,99232,7426,Firewall Rules Updated,Mitigated,CERT-In
109,2025-05-08 06:07:08,Gujarat,Ahmedabad,Healthcare,NPCI,Ransomware,9,High,ATM Network,CrowdStrike Falcon,Security Analyst,10.38,296,99,5599511,8453,Network Isolation,Recovered,NCIIPC
110,2024-08-14 22:11:24,West Bengal,Siliguri,Education,NIC,Credential Theft,5,High,ERP System,SentinelOne,HR Executive,68.22,97,279,866249,1587,Password Reset,Resolved,NCIIPC
111,2024-11-28 08:47:36,Andhra Pradesh,Visakhapatnam,IT Services,SBI,Phishing,4,Medium,File Server,IBM QRadar,System Administrator,9.82,337,38,5800396,9186,MFA Enabled,Mitigated,State Cyber Crime Cell
112,2025-02-06 10:45:52,Odisha,Bhubaneswar,Banking,NIC,Credential Theft,6,High,ERP System,Microsoft Defender XDR,System Administrator,31.69,283,243,4297168,6903,Patch Applied,Mitigated,State Cyber Crime Cell
113,2024-09-20 23:22:11,Gujarat,Surat,Government,Reliance Retail,Credential Theft,3,High,HRMS,Cisco Secure Endpoint,Security Analyst,58.24,641,92,9376280,8905,Backup Restored,Mitigated,State Cyber Crime Cell
114,2024-01-14 18:20:50,Kerala,Kochi,Manufacturing,SBI,Ransomware,4,High,Email Server,CrowdStrike Falcon,HR Executive,4.14,702,196,2150554,3377,Network Isolation,Ongoing Investigation,Internal SOC
115,2024-01-12 18:45:08,Telangana,Warangal,Education,LIC,Malware,4,High,VPN Gateway,SentinelOne,System Administrator,40.28,51,263,3366815,8138,Patch Applied,Contained,CERT-In
116,2025-05-29 02:58:36,West Bengal,Siliguri,Retail,Wipro,Insider Threat,6,High,ATM Network,Microsoft Defender XDR,Employee,63.26,105,128,346928,8324,MFA Enabled,Recovered,NCIIPC
117,2025-06-17 07:51:54,Maharashtra,Nashik,Banking,Wipro,Insider Threat,1,Medium,Cloud Infrastructure,Palo Alto Cortex XDR,Security Analyst,66.66,345,277,9301010,6021,Patch Applied,Contained,NCIIPC
118,2025-01-05 03:30:26,Andhra Pradesh,Kakinada,Insurance,ICICI Bank,Credential Theft,3,Medium,VPN Gateway,SentinelOne,Finance Manager,72.8,19,232,6191766,7781,Backup Restored,Mitigated,State Cyber Crime Cell
119,2024-09-04 17:28:08,Odisha,Cuttack,Retail,NIC,SQL Injection,5,High,ATM Network,Microsoft Sentinel,Network Engineer,66.35,568,170,544732,3039,Backup Restored,Contained,NCIIPC
120,2024-07-22 10:17:00,Maharashtra,Pune,Insurance,TCS,Insider Threat,2,Medium,Email Server,Palo Alto Cortex XDR,Security Analyst,22.53,115,298,1130188,9038,Backup Restored,Resolved,NCIIPC
121,2024-03-08 01:19:27,Andhra Pradesh,Tirupati,Education,LIC,Ransomware,1,Medium,ATM Network,IBM QRadar,Security Analyst,55.59,687,218,8018810,1366,Backup Restored,Contained,CERT-In
122,2024-12-12 18:17:24,West Bengal,Kolkata,Telecommunications,Infosys,Insider Threat,10,High,Database Server,Splunk Enterprise Security,Network Engineer,24.47,607,61,7334622,6717,Network Isolation,Mitigated,Internal SOC
123,2025-04-12 04:37:34,Telangana,Nizamabad,Government,Wipro,Malware,6,High,Web Application,Palo Alto Cortex XDR,Finance Manager,37.78,290,141,1700392,4931,Patch Applied,Contained,NCIIPC
124,2024-10-18 11:40:40,Telangana,Hyderabad,Healthcare,Infosys,Brute Force,8,High,ERP System,Fortinet FortiGate,Database Administrator,7.5,492,131,1233986,8985,Network Isolation,Ongoing Investigation,NCIIPC
125,2024-11-27 09:54:34,West Bengal,Siliguri,Retail,Apollo Hospitals,Malware,10,High,VPN Gateway,Palo Alto Cortex XDR,Security Analyst,56.12,235,257,3733614,2062,Threat Hunting,Recovered,NCIIPC
