Incident_ID,Timestamp,State,City,Industry,Organization,Attack_Type,Attack_Severity,Threat_Severity,Target_System,Security_Tools_Used,User_Role,Data_Compromised_GB,Attack_Duration_Min,Response_Time_Min,Financial_Loss_INR,Affected_Users,Mitigation_Method,Outcome,Reporting_Agency,Severity_Norm,Loss_Norm,Data_Norm,Users_Norm,Response_Norm,TSI_Score
15,2024-10-19 08:41:06,Gujarat,Surat,Healthcare,TCS,Malware,9,High,ERP System,Cisco Secure Endpoint,HR Executive,20.06,582,94,5456189,904,Endpoint Isolation,Contained,NCIIPC,0.9,0.5433418860769723,0.2655080213903743,0.08985391234740844,0.3016949152542373,0.54
16,2025-05-17 09:53:38,Maharashtra,Nashik,IT Services,Reliance Retail,Data Breach,2,Medium,ATM Network,SentinelOne,Security Analyst,35.02,258,171,4217683,7467,MFA Enabled,Mitigated,CERT-In,0.2,0.41885946309086397,0.46550802139037434,0.7465479287572544,0.5627118644067797,0.4
17,2025-01-05 17:55:20,Karnataka,Bengaluru,Manufacturing,Airtel,Ransomware,2,Medium,Payment Gateway,Fortinet FortiGate,System Administrator,1.69,145,259,589450,7597,MFA Enabled,Recovered,CERT-In,0.2,0.05418522251539916,0.019919786096256685,0.759555733440064,0.8610169491525423,0.25
18,2024-08-09 10:30:30,Delhi,New Delhi,Retail,Wipro,Credential Theft,7,High,Email Server,SentinelOne,Employee,17.22,269,37,8385083,2704,Network Isolation,Contained,State Cyber Crime Cell,0.7,0.8377254593414334,0.22754010695187166,0.26996197718631176,0.10847457627118644,0.54
19,2024-08-23 03:43:16,Kerala,Thiruvananthapuram,Manufacturing,Infosys,DDoS,3,High,File Server,CrowdStrike Falcon,Employee,57.34,208,276,7477481,8933,MFA Enabled,Resolved,CERT-In,0.3,0.7465022468038778,0.763903743315508,0.893235941564939,0.9186440677966101,0.63
20,2024-02-16 17:18:45,Gujarat,Vadodara,Retail,NIC,Zero-Day Exploit,7,High,VPN Gateway,Cisco Secure Endpoint,Security Analyst,59.87,123,234,2631136,8085,Patch Applied,Resolved,Internal SOC,0.7,0.25939538722741146,0.7977272727272727,0.8083850310186111,0.7762711864406779,0.63
21,2024-11-09 12:35:39,Tamil Nadu,Chennai,Banking,Tech Mahindra,Zero-Day Exploit,1,Low,Payment Gateway,Cisco Secure Endpoint,Employee,18.49,85,111,751987,4044,Endpoint Isolation,Mitigated,Internal SOC,0.1,0.0705218406544256,0.2445187165775401,0.4040424254552732,0.3593220338983051,0.18
22,2025-02-04 09:31:36,Maharashtra,Mumbai,Telecommunications,NIC,Ransomware,2,Medium,HRMS,IBM QRadar,Database Administrator,21.33,227,171,3775375,8369,Endpoint Isolation,Ongoing Investigation,Internal SOC,0.2,0.37440301996815034,0.28248663101604277,0.8368020812487492,0.5627118644067797,0.36
23,2024-08-10 18:04:29,Gujarat,Ahmedabad,Manufacturing,NPCI,Business Email Compromise,2,Medium,Database Server,Microsoft Sentinel,Employee,73.78,53,259,7769270,5786,Firewall Rules Updated,Ongoing Investigation,State Cyber Crime Cell,0.2,0.7758300027620189,0.9836898395721926,0.5783470082049229,0.8610169491525423,0.6
24,2025-01-29 23:30:03,Maharashtra,Mumbai,Energy,LIC,Insider Threat,6,Medium,Database Server,IBM QRadar,Database Administrator,16.16,118,29,3066487,6866,Patch Applied,Ongoing Investigation,Internal SOC,0.6,0.3031525812413486,0.21336898395721926,0.686411847108265,0.08135593220338982,0.41
25,2024-01-26 01:56:59,Andhra Pradesh,Visakhapatnam,Education,Infosys,Data Breach,3,Medium,VPN Gateway,IBM QRadar,Finance Manager,59.2,348,49,6839164,981,Firewall Rules Updated,Resolved,CERT-In,0.3,0.6823449098243043,0.7887700534759359,0.09755853512107264,0.14915254237288136,0.46
26,2024-12-07 08:23:44,West Bengal,Kolkata,Government,Infosys,Credential Theft,2,Medium,Payment Gateway,Microsoft Sentinel,Employee,10.25,377,26,210079,4783,Backup Restored,Ongoing Investigation,State Cyber Crime Cell,0.2,0.01605458666005176,0.13435828877005349,0.47798679207524514,0.0711864406779661,0.16
27,2025-12-19 07:06:15,Tamil Nadu,Coimbatore,IT Services,Infosys,Ransomware,1,Low,File Server,Microsoft Defender XDR,HR Executive,4.54,122,38,9162286,4318,Endpoint Isolation,Recovered,State Cyber Crime Cell,0.1,0.9158422489186113,0.05802139037433155,0.4314588753251951,0.11186440677966102,0.33
28,2024-08-12 17:28:51,Delhi,New Delhi,Telecommunications,NPCI,Phishing,3,Medium,Payment Gateway,Cisco Secure Endpoint,HR Executive,63.52,627,22,98635,4824,Password Reset,Ongoing Investigation,Internal SOC,0.3,0.004853333579918233,0.846524064171123,0.4820892535521313,0.0576271186440678,0.33
29,2025-08-02 02:33:04,Odisha,Bhubaneswar,Retail,LIC,Zero-Day Exploit,6,High,Database Server,IBM QRadar,System Administrator,33.46,620,58,6060725,7007,Threat Hunting,Mitigated,Internal SOC,0.6,0.6041038897025743,0.4446524064171123,0.7005203121873124,0.17966101694915254,0.54
30,2025-06-06 07:40:26,Gujarat,Ahmedabad,Government,Wipro,Ransomware,1,Medium,Database Server,Microsoft Sentinel,Finance Manager,19.68,650,20,1751122,4436,Password Reset,Contained,State Cyber Crime Cell,0.1,0.17094504868912652,0.260427807486631,0.44326595957574544,0.05084745762711865,0.18
31,2024-03-13 01:16:55,Andhra Pradesh,Tirupati,Insurance,NIC,XSS,5,High,Database Server,Cisco Secure Endpoint,Employee,27.21,430,134,5582947,4705,MFA Enabled,Ongoing Investigation,Internal SOC,0.5,0.5560823515836982,0.361096256684492,0.4701821092655593,0.43728813559322033,0.48
32,2025-10-12 08:39:05,Andhra Pradesh,Kakinada,Telecommunications,LIC,Ransomware,2,Medium,Web Application,Sophos Intercept X,Employee,62.94,461,56,7018575,3440,Network Isolation,Contained,NCIIPC,0.2,0.7003775362228527,0.8387700534759358,0.34360616369821895,0.17288135593220338,0.46
33,2024-05-10 14:30:23,Karnataka,Hubballi,IT Services,HDFC Bank,Phishing,2,Medium,Database Server,SentinelOne,Database Administrator,13.26,441,141,4514654,9318,Firewall Rules Updated,Recovered,Internal SOC,0.2,0.44870806264274954,0.17459893048128344,0.93175905543326,0.4610169491525424,0.36
34,2025-05-31 23:21:17,Maharashtra,Pune,IT Services,TCS,SQL Injection,5,High,VPN Gateway,IBM QRadar,Database Administrator,44.89,33,178,804417,6930,Password Reset,Resolved,Internal SOC,0.5,0.07579158778295114,0.5974598930481283,0.6928156894136482,0.5864406779661017,0.44
35,2025-03-25 04:06:54,Andhra Pradesh,Vijayawada,Retail,BSNL,Business Email Compromise,9,High,VPN Gateway,Cisco Secure Endpoint,Security Analyst,16.83,469,37,1301678,3547,Password Reset,Ongoing Investigation,CERT-In,0.9,0.1257713651409092,0.22232620320855614,0.35431258755253153,0.10847457627118644,0.44
36,2024-01-28 16:17:59,Kerala,Kochi,Insurance,HDFC Bank,Business Email Compromise,5,High,Email Server,Sophos Intercept X,HR Executive,52.66,701,111,7977201,6301,Backup Restored,Resolved,NCIIPC,0.5,0.7967291786189986,0.7013368983957219,0.6298779267560536,0.3593220338983051,0.61
37,2025-05-24 22:18:30,Gujarat,Vadodara,Education,NIC,Business Email Compromise,2,Medium,ATM Network,Splunk Enterprise Security,Security Analyst,6.73,165,115,8608169,6899,MFA Enabled,Mitigated,NCIIPC,0.2,0.8601478665112646,0.08729946524064172,0.6897138282969781,0.3728813559322034,0.41
38,2025-10-25 23:52:41,Karnataka,Bengaluru,Energy,BSNL,Business Email Compromise,9,High,Web Application,Cisco Secure Endpoint,HR Executive,39.78,103,286,1746698,7444,Network Isolation,Recovered,NCIIPC,0.9,0.17050039178856202,0.529144385026738,0.7442465479287572,0.9525423728813559,0.63
39,2025-05-18 05:33:10,Andhra Pradesh,Tirupati,Insurance,NIC,Brute Force,6,High,ATM Network,Fortinet FortiGate,System Administrator,22.36,392,243,2888413,655,Backup Restored,Contained,CERT-In,0.6,0.28525433691243274,0.2962566844919786,0.06493896337802682,0.8067796610169492,0.43
40,2025-05-25 13:06:24,West Bengal,Kolkata,Government,BSNL,Credential Theft,6,High,Web Application,Cisco Secure Endpoint,Finance Manager,56.63,117,95,1718217,8002,Network Isolation,Recovered,NCIIPC,0.6,0.16763776222595406,0.7544117647058823,0.8000800480288173,0.3050847457627119,0.51
41,2024-07-26 17:02:41,Delhi,New Delhi,Manufacturing,ICICI Bank,SQL Injection,6,High,Database Server,Microsoft Defender XDR,Finance Manager,70.35,674,218,8703234,2359,Backup Restored,Contained,Internal SOC,0.6,0.8697028638557864,0.9378342245989304,0.23544126475885532,0.7220338983050848,0.71
42,2025-08-22 03:46:45,Karnataka,Mysuru,Insurance,LIC,Ransomware,3,High,HRMS,Cisco Secure Endpoint,Finance Manager,51.47,193,209,137928,7715,Patch Applied,Mitigated,State Cyber Crime Cell,0.3,0.008802678876907633,0.685427807486631,0.7713628176906143,0.6915254237288135,0.39
43,2024-11-03 19:44:24,Kerala,Thiruvananthapuram,Banking,LIC,Credential Theft,8,High,VPN Gateway,CrowdStrike Falcon,Security Analyst,17.02,493,223,7489197,7604,Firewall Rules Updated,Contained,CERT-In,0.8,0.7476798237132389,0.22486631016042782,0.7602561536922153,0.7389830508474576,0.66
44,2025-06-23 18:42:33,Delhi,New Delhi,Energy,NPCI,Insider Threat,6,High,Cloud Infrastructure,Microsoft Defender XDR,System Administrator,24.16,571,127,2175181,7357,Network Isolation,Ongoing Investigation,NCIIPC,0.6,0.2135672820970116,0.3203208556149733,0.7355413247948769,0.4135593220338983,0.44
45,2025-12-27 08:47:13,Andhra Pradesh,Tirupati,Insurance,TCS,Zero-Day Exploit,6,High,Database Server,Fortinet FortiGate,System Administrator,70.97,285,69,836987,1939,Patch Applied,Recovered,CERT-In,0.6,0.07906520334610348,0.9461229946524063,0.19341604962977788,0.21694915254237288,0.46
46,2024-02-19 19:10:54,Odisha,Bhubaneswar,Education,Wipro,SQL Injection,8,High,Payment Gateway,Sophos Intercept X,Finance Manager,38.75,521,209,8242355,1921,Endpoint Isolation,Contained,State Cyber Crime Cell,0.8,0.8233798467501652,0.5153743315508021,0.19161496898138883,0.6915254237288135,0.68
47,2025-06-21 19:34:17,Kerala,Kochi,Telecommunications,ICICI Bank,SQL Injection,7,High,Database Server,CrowdStrike Falcon,Database Administrator,7.87,101,136,7574534,7161,Threat Hunting,Contained,NCIIPC,0.7,0.7562570583252356,0.10254010695187166,0.7159295577346407,0.4440677966101695,0.57
48,2024-10-19 09:02:52,Andhra Pradesh,Tirupati,Telecommunications,Wipro,Malware,2,High,Payment Gateway,SentinelOne,System Administrator,70.23,412,264,2081604,446,Threat Hunting,Ongoing Investigation,State Cyber Crime Cell,0.2,0.20416184385466876,0.9362299465240642,0.044026415849509705,0.8779661016949153,0.4
49,2024-04-27 20:01:10,Andhra Pradesh,Tirupati,Energy,Apollo Hospitals,Insider Threat,4,High,Cloud Infrastructure,Cisco Secure Endpoint,HR Executive,60.33,303,166,628136,7720,Patch Applied,Resolved,State Cyber Crime Cell,0.4,0.05807355815175505,0.8038770053475935,0.7718631178707225,0.5457627118644067,0.45
50,2024-06-01 22:12:56,Tamil Nadu,Salem,Manufacturing,NIC,Insider Threat,8,High,HRMS,Palo Alto Cortex XDR,Database Administrator,41.95,176,164,4574377,7154,MFA Enabled,Contained,NCIIPC,0.8,0.454710830290221,0.5581550802139038,0.7152291374824895,0.5389830508474577,0.63
51,2025-03-15 19:16:57,West Bengal,Kolkata,Government,NIC,Phishing,2,High,Web Application,Sophos Intercept X,HR Executive,68.0,401,169,8593518,7281,MFA Enabled,Recovered,Internal SOC,0.2,0.8586752923136672,0.9064171122994652,0.7279367620572343,0.5559322033898305,0.59
52,2025-09-19 14:14:30,Maharashtra,Mumbai,Energy,Tech Mahindra,XSS,3,High,Database Server,Fortinet FortiGate,Database Administrator,68.15,437,126,2312777,2761,Backup Restored,Recovered,Internal SOC,0.3,0.22739707660200112,0.9084224598930482,0.27566539923954375,0.4101694915254237,0.41
53,2024-07-27 08:06:32,Karnataka,Mysuru,Energy,Reliance Retail,SQL Injection,5,High,ERP System,IBM QRadar,Network Engineer,31.31,475,87,875202,5069,Network Isolation,Recovered,NCIIPC,0.5,0.08290619870213255,0.4159090909090909,0.5066039623774264,0.27796610169491526,0.36
54,2025-06-01 03:35:51,Andhra Pradesh,Vijayawada,Telecommunications,SBI,Malware,3,High,Cloud Infrastructure,Microsoft Defender XDR,Security Analyst,12.05,647,175,3665917,1374,Patch Applied,Ongoing Investigation,NCIIPC,0.3,0.36340138004455413,0.15842245989304815,0.13688212927756654,0.576271186440678,0.3
55,2025-04-15 17:34:21,Karnataka,Mysuru,Healthcare,Tech Mahindra,Ransomware,2,Medium,Cloud Infrastructure,Splunk Enterprise Security,System Administrator,73.59,61,273,7609229,2099,Backup Restored,Ongoing Investigation,CERT-In,0.2,0.7597442579556799,0.9811497326203209,0.20942565539323593,0.9084745762711864,0.57
56,2024-05-04 01:28:52,Odisha,Bhubaneswar,Government,Infosys,DDoS,8,High,HRMS,Cisco Secure Endpoint,System Administrator,23.46,625,226,9907366,3238,Patch Applied,Recovered,Internal SOC,0.8,0.9907303509693802,0.3109625668449198,0.3233940364218531,0.7491525423728813,0.7
57,2024-08-23 01:47:51,Tamil Nadu,Coimbatore,Banking,Apollo Hospitals,Business Email Compromise,8,High,VPN Gateway,IBM QRadar,Network Engineer,67.23,106,65,3937957,7079,Password Reset,Mitigated,State Cyber Crime Cell,0.8,0.3907441610638959,0.8961229946524064,0.7077246347808686,0.2033898305084746,0.65
58,2024-06-07 16:36:50,Kerala,Kochi,Banking,LIC,Business Email Compromise,5,High,Database Server,Sophos Intercept X,Network Engineer,20.1,642,82,5125002,8004,Password Reset,Resolved,NCIIPC,0.5,0.5100542312561638,0.26604278074866317,0.8002801681008606,0.26101694915254237,0.46
59,2024-03-15 10:41:36,Delhi,New Delhi,Banking,ICICI Bank,DDoS,9,High,Payment Gateway,Microsoft Sentinel,Database Administrator,5.59,327,283,7897864,4959,Password Reset,Ongoing Investigation,NCIIPC,0.9,0.7887550049028851,0.07205882352941176,0.49559735841504904,0.9423728813559322,0.67
60,2025-12-20 00:45:17,Delhi,New Delhi,IT Services,BSNL,XSS,6,High,Database Server,CrowdStrike Falcon,Employee,63.87,377,123,5867567,6135,Threat Hunting,Ongoing Investigation,NCIIPC,0.6,0.5846895502814083,0.8512032085561497,0.6132679607764658,0.4,0.63
61,2025-07-14 02:46:42,Karnataka,Hubballi,Education,Reliance Retail,Zero-Day Exploit,3,Medium,File Server,IBM QRadar,Finance Manager,18.17,221,175,7235845,6098,Endpoint Isolation,Resolved,State Cyber Crime Cell,0.3,0.7222153763642745,0.24024064171123,0.6095657394436662,0.576271186440678,0.45
62,2025-06-29 14:45:13,Odisha,Cuttack,Banking,NPCI,SQL Injection,6,High,HRMS,IBM QRadar,Finance Manager,62.73,557,207,3901546,2540,Backup Restored,Ongoing Investigation,State Cyber Crime Cell,0.6,0.38708448601722906,0.8359625668449198,0.25355213127876725,0.6847457627118644,0.57
63,2024-01-18 18:00:35,Andhra Pradesh,Tirupati,Education,NIC,DDoS,8,High,Web Application,Palo Alto Cortex XDR,System Administrator,25.39,253,32,2720802,3969,Patch Applied,Resolved,State Cyber Crime Cell,0.8,0.2684077302757878,0.33676470588235297,0.3965379227536522,0.09152542372881356,0.46
64,2024-11-21 17:49:26,Gujarat,Surat,Telecommunications,NIC,Ransomware,9,High,Database Server,IBM QRadar,Finance Manager,35.69,586,200,7401095,4955,Password Reset,Mitigated,Internal SOC,0.9,0.7388246785383894,0.4744652406417112,0.4951971182709626,0.6610169491525424,0.71
65,2025-07-31 06:41:17,Gujarat,Surat,Energy,SBI,Phishing,5,High,Cloud Infrastructure,Microsoft Sentinel,Database Administrator,70.56,566,239,7231018,3758,Password Reset,Recovered,NCIIPC,0.5,0.7217302138735365,0.9406417112299466,0.37542525515309183,0.7932203389830509,0.66
66,2024-05-29 22:12:40,Andhra Pradesh,Vijayawada,Banking,NPCI,Malware,10,High,Database Server,Cisco Secure Endpoint,Network Engineer,62.9,144,196,8507963,7873,Threat Hunting,Mitigated,Internal SOC,1.0,0.8500761464891202,0.8382352941176471,0.7871723033820293,0.6474576271186441,0.87
67,2025-04-28 06:42:16,Delhi,New Delhi,Government,SBI,Zero-Day Exploit,7,High,File Server,IBM QRadar,Finance Manager,60.47,538,106,5071634,4586,Threat Hunting,Mitigated,Internal SOC,0.7,0.5046902056075818,0.8057486631016042,0.4582749649789874,0.3423728813559322,0.61
68,2024-02-29 19:12:12,Kerala,Thiruvananthapuram,Government,Wipro,Malware,7,High,ATM Network,Palo Alto Cortex XDR,HR Executive,24.19,166,131,992438,343,Backup Restored,Recovered,CERT-In,0.7,0.09468960656709194,0.32072192513368986,0.033720232139283574,0.4271186440677966,0.38
69,2024-03-23 13:24:11,Odisha,Bhubaneswar,Government,Reliance Retail,DDoS,7,High,VPN Gateway,IBM QRadar,Database Administrator,71.67,681,178,9919958,5088,Network Isolation,Recovered,State Cyber Crime Cell,0.7,0.9919959747695403,0.9554812834224599,0.508505103061837,0.5864406779661017,0.79
70,2025-01-12 03:34:57,Maharashtra,Nagpur,Insurance,BSNL,Insider Threat,8,High,Web Application,Palo Alto Cortex XDR,Database Administrator,43.85,651,135,8845113,1068,Patch Applied,Resolved,NCIIPC,0.8,0.8839631433302872,0.5835561497326204,0.10626375825495298,0.4406779661016949,0.67
71,2024-06-12 20:22:36,Andhra Pradesh,Vijayawada,Telecommunications,SBI,SQL Injection,6,High,Cloud Infrastructure,Microsoft Sentinel,HR Executive,29.62,669,257,2180177,4299,Network Isolation,Ongoing Investigation,Internal SOC,0.6,0.21406943080298363,0.3933155080213904,0.42955773464078445,0.8542372881355932,0.47
72,2024-02-19 14:12:10,Odisha,Bhubaneswar,Education,Infosys,Phishing,9,High,HRMS,Fortinet FortiGate,Security Analyst,28.81,15,102,3468739,6421,Endpoint Isolation,Recovered,CERT-In,0.9,0.34358298982314633,0.3824866310160428,0.6418851310786472,0.3288135593220339,0.57
73,2024-05-20 16:26:34,Kerala,Thiruvananthapuram,Education,Wipro,SQL Injection,5,High,Payment Gateway,Cisco Secure Endpoint,Finance Manager,48.71,719,199,9847390,9558,Firewall Rules Updated,Resolved,NCIIPC,0.5,0.9847021542541323,0.6485294117647059,0.9557734640784471,0.6576271186440678,0.71
74,2025-01-21 13:49:14,Delhi,New Delhi,Energy,NPCI,Phishing,8,High,VPN Gateway,CrowdStrike Falcon,System Administrator,73.74,28,61,1650716,2173,Backup Restored,Resolved,State Cyber Crime Cell,0.8,0.16085322663711937,0.9831550802139036,0.2168300980588353,0.18983050847457628,0.56
75,2024-01-29 03:43:16,Tamil Nadu,Chennai,Insurance,Infosys,Data Breach,4,High,Payment Gateway,Cisco Secure Endpoint,System Administrator,56.42,33,231,2814520,8160,Threat Hunting,Recovered,Internal SOC,0.4,0.2778273404491839,0.7516042780748663,0.8158895337202321,0.7661016949152543,0.52
76,2025-07-30 16:06:53,Telangana,Nizamabad,Healthcare,ICICI Bank,Data Breach,7,High,ATM Network,Cisco Secure Endpoint,System Administrator,8.35,685,37,9374248,2297,Network Isolation,Resolved,Internal SOC,0.7,0.9371465811874752,0.1089572192513369,0.22923754252551531,0.10847457627118644,0.53
77,2024-08-26 00:16:01,Karnataka,Bengaluru,Government,Infosys,Phishing,2,High,ERP System,Fortinet FortiGate,Security Analyst,65.33,649,141,1987877,3921,MFA Enabled,Contained,CERT-In,0.2,0.19474132908992883,0.8707219251336898,0.39173504102461476,0.4610169491525424,0.38
78,2025-09-07 21:01:32,Maharashtra,Nashik,Government,Wipro,Insider Threat,2,High,HRMS,SentinelOne,System Administrator,57.95,677,271,9373192,7162,Threat Hunting,Contained,CERT-In,0.2,0.9370404424697997,0.7720588235294118,0.7160296177706624,0.9016949152542373,0.62
79,2024-06-01 23:19:07,Andhra Pradesh,Visakhapatnam,Insurance,NPCI,Zero-Day Exploit,2,Medium,Cloud Infrastructure,Fortinet FortiGate,Finance Manager,7.74,410,247,2611186,2122,Patch Applied,Recovered,State Cyber Crime Cell,0.2,0.2573902097486,0.10080213903743315,0.21172703622173303,0.8203389830508474,0.26
80,2025-11-03 02:39:49,Maharashtra,Mumbai,IT Services,Reliance Retail,XSS,2,Medium,Database Server,Splunk Enterprise Security,Database Administrator,69.93,28,233,7820100,5552,Password Reset,Resolved,NCIIPC,0.2,0.7809389336516422,0.9322192513368985,0.5549329597758655,0.7728813559322034,0.58
81,2025-07-29 03:35:20,Karnataka,Mangaluru,Manufacturing,LIC,Zero-Day Exploit,10,High,ATM Network,Splunk Enterprise Security,System Administrator,68.51,556,163,3379439,3678,Threat Hunting,Mitigated,CERT-In,1.0,0.3346074334894189,0.9132352941176471,0.36742045227136283,0.535593220338983,0.71
82,2024-11-02 21:38:23,Telangana,Warangal,Retail,TCS,Insider Threat,8,High,File Server,Cisco Secure Endpoint,Finance Manager,65.68,466,132,4766006,9020,Firewall Rules Updated,Recovered,CERT-In,0.8,0.4739714896930862,0.8754010695187167,0.9019411646988192,0.43050847457627117,0.71
83,2025-06-05 06:44:54,West Bengal,Siliguri,Healthcare,Reliance Retail,DDoS,3,Medium,Web Application,IBM QRadar,Employee,10.58,152,224,1713345,9574,MFA Enabled,Mitigated,Internal SOC,0.3,0.16714807677849694,0.13877005347593585,0.9573744246547928,0.7423728813559322,0.34
84,2025-08-05 08:36:01,Delhi,New Delhi,Insurance,Tech Mahindra,Insider Threat,7,High,VPN Gateway,Microsoft Defender XDR,Security Analyst,22.32,590,131,3797859,4821,Threat Hunting,Recovered,Internal SOC,0.7,0.3766628901653231,0.2957219251336899,0.48178907344406646,0.4271186440677966,0.49
85,2025-11-02 15:20:01,West Bengal,Siliguri,Education,Wipro,Ransomware,2,Medium,ERP System,CrowdStrike Falcon,Database Administrator,15.9,534,91,6030939,3861,Endpoint Isolation,Ongoing Investigation,Internal SOC,0.2,0.6011100943951119,0.20989304812834228,0.385731438863318,0.29152542372881357,0.33
86,2024-12-06 05:59:27,Andhra Pradesh,Kakinada,Education,Reliance Retail,DDoS,5,High,ERP System,Splunk Enterprise Security,HR Executive,37.88,237,8,987721,3872,Threat Hunting,Resolved,CERT-In,0.5,0.09421550019277847,0.5037433155080214,0.38683209925955575,0.010169491525423728,0.34
87,2025-11-24 16:28:37,Andhra Pradesh,Visakhapatnam,Government,NIC,Data Breach,6,High,Web Application,Microsoft Defender XDR,HR Executive,22.13,443,77,9313023,2425,Password Reset,Resolved,Internal SOC,0.6,0.9309928472957343,0.2931818181818182,0.24204522713628177,0.2440677966101695,0.55
88,2024-02-15 23:45:42,Kerala,Kochi,Government,Apollo Hospitals,Data Breach,9,High,File Server,Cisco Secure Endpoint,Security Analyst,68.8,16,270,3101154,6913,Threat Hunting,Contained,CERT-In,0.9,0.3066369665876121,0.9171122994652406,0.6911146688012808,0.8983050847457628,0.73
